Row,SA_meanCT,RR_meanCT,RVNS_meanCT,SD_meanCT
...6...48...2...3...9.....25...9..7.87..13..6......8.163...7.......2.3...4..61...,2.0241996,2.1596963,2.4817679,2.6079249
12.95.........7.3.7.9.....1.6...3..5...5..7.4...2...1.9...82...5.2.....6..8.....9,2.2665434,2.2045382,3.2550024,3.5617242
12....8.7.5.......7.9...6..59.3......4...7..1............26...9.6495..12....4.3.6,2.6078658,2.0999661,2.9789318,3.4785284
..3..67.......2.837..3.562.2.......7....5.21...1...495.6.......51.2.....97.8.1.3.,1.7006805,2.0400952,1.9179107,2.5671736
.2..84....5...781...9..1..5...7..4.1.....83...3.....7.69.4..5....2..3.....4.....8,2.0039267,2.0114711,3.4432455,3.5782083
.....67..4.67.9.8..895.346..3.....9.94.3.58....5..1......1.....51.....4...4.6.2..,1.546536,1.2594682,2.892108,3.1122769
1.3..9....5........892..4...47..59.8.3.4.6.....597.......1...4.5.......1..2.6.8.9,2.0354733,2.1560336,2.4367199,2.7146005
...4..........8..27.9.615..6.........12..4..9.....72.1..1..5.9..4..3......8..26.5,2.4984315,1.9400083,2.9883025,3.2672448
....8....4.67...1..893.1..4.....91.8.......5.51.....72.6.4.....9.2..6.......276..,2.1876988,2.2453276,2.7098077,3.1674254
..347.9....682...........2.2.....14539......6.4.1.....9.....5....2..8.6.6.....4.7,2.2652792,2.1752319,3.1380012,3.8626668
.23..64.8....87.9......4.61..8........7.4..3.......6.2.7261..5.3.5.9....6........,2.247003,2.3441589,3.1008355,3.508638
.2........56..98.....3...54..8.........4.2...2.758....3....12......6...9.7.2.84.1,2.2477777,1.8376266,3.8102894,3.2191391
1.3.7...8.56..9...7....65..2..6......4.95......1.2.39......51.7.7......6.....32..,2.125436,2.2382895,3.0805238,2.5140837
12.75.....56.1.2.3.........6..17.8...3...91.5.1.8.5...5..2....19..5..6...7......4,2.0653959,2.0593559,2.8867468,2.8770613
1...58.....6.3.8....9......8.12...9.2......6.6......4...7.1...3.1.6927......47..9,2.1152197,1.8801894,2.6478274,2.7124584
1..94.6...5..1.........31....4..6.9.5.82.1.67....8...2..78...4.6......89.9..6....,2.2749475,2.0175796,2.4307709,3.2606749
1.......7....1.3...8.2.3...5.....28..3.4....1....8..343.7..89..6.....4.2.1.749...,2.2294303,1.998453,3.3312689,2.4614651
.....6..745...9....8.43........8..618.....5...71..5..8.6..1..8......79..2...6.1.3,2.3101843,2.1672435,3.4225857,2.5703785
....69.8.45...3..27..4....6..1...54.6.........9..1.........2...5.47...3...23....7,2.2447728,2.0973653,3.0124784,3.1222773
..3..5.......8..1......46..27.41.9.5..1.2....3....6..86...5..8.91.........23.7...,2.3143664,2.3682671,3.1365917,2.9687037
.....9...4.6.8...278..1..6.....2...6.....84.15..7.....8....4.5.3..2..9..64.......,2.4081162,2.092039,2.8915897,2.8149711
....96.....62.83....9.....4.41.87....9.6...7.8...5.9.2..87....55..86.....3..4...1,1.4698299,1.2871436,2.6408724,3.2113029
.23..5.7.....8192..8......16....3.....4...2....58...6.....78...9...5.4.6..2.6...7,2.1273164,1.8752172,2.606469,2.8626808
.2..6..8....7.3..9789.....524....9..........6..5...17.9.8.453.7...........4.3..2.,2.2314676,1.8800461,2.8791047,3.0696938
.2.6....9....2....78...46.2.....3.....2.5.83......79.4.7.5....8....7.....6541..7.,2.6498209,2.1534936,3.2389255,3.4676488
..3..........1..2978.6..1..8...5.........7.935...9..8.....81....6.3..84..1.....32,1.7820597,2.0691975,2.6346583,3.2201823
1...6.....5...7.8.78...2.165.4.2...9..2...7........8..6...3.9.......13.....7.6.4.,2.3114988,2.1417973,3.1971436,3.5148887
1..85...7.561....8....23..687.64...1..4..7..............7.3.5.291..856...........,1.9343408,1.8041378,2.4763301,2.7649728
.....4....56.....2789.........3...585..48...3.6.....1.6...41........81..8.2.759..,2.3679563,1.9606446,2.9912234,3.4627952
...7..5.9...891...7...2.....6.3.24..2.........18....3..4...69....1.8...5..24....7,2.1968182,2.4257918,2.9420392,2.4645277
....8...9.5.2..31...9......56...34..8.4.....3.32...6.....5.8...6..9....2...1675..,2.3107853,2.0768863,2.7755,3.2771812
..35..89......87.2.....13.526.1.49.....6...2...1.8....61....4....7..5..38..9.....,2.0852847,1.9969139,2.8286276,2.7216347
1....4.....6.7.3827.......6.....587.59.4...2......14.....3......4..1.253.....6...,2.2064077,1.9753395,2.8479632,3.715754
..3...5.94....9.7..8......4.........69...71....189....3..4.2...26...1.47....7..35,2.1673526,1.9609541,2.3510178,2.5243305
1..6.5.4..5.....83.8........6........189.....5..23.46.8...9......24.7..1....1.2.7,1.2908805,1.5944224,2.3138533,2.1210337
.2.6...48...2................5....74..4.9.6...6...3895.7..3..693.2.6......1.583..,2.0911105,1.9810469,2.4466562,2.6242492
.23..7.9.4..3..21..8...6..3.....9...69.8..4.52.7...6.......1...8..6.4..2....3....,2.1834091,2.0769872,3.351287,3.0777081
...94........1792.7.....5.4....6.1...4.....6...5..1..7.1.5.......26..3....4.8.2.6,2.5027355,2.5010371,2.7844701,3.8197823
.236...7...69.3.8.....5......1..6...5....7.1..7.2..6..6.....13..375.......2....9.,2.2775937,2.4276255,3.03754,2.8106297
...4......567...1..89....542...4..93..76.14..8......71.1...5....38......6.......8,2.281005,2.1670985,2.9291227,2.5623483
.2....7...5.97.....89.1.42....723..139..5.2.....6......7...8...8.....1...14....98,2.0035141,1.8174994,2.3828546,2.8635684
...5..89.........17..21...3..7..5..2.3.......8.463..1...84...6..4..7......19..4.5,2.2399651,2.406421,3.1517984,3.0121392
...4....9..6..83...8....4..56.3......4.2.9..7..15..8..9...2..7.8......9......725.,2.5109833,1.9743438,2.9374128,3.3122066
1...4..89..6..8......3.2.4.8...31.2....5......42......6......94.9.6..3..3.8.....7,2.4398696,1.9553379,3.5821938,2.8732772
1..9.45.........2.7....5..65.....73.6.8.9.....4.....6...58..2.....7....19..23...5,2.1615183,2.0142576,2.8015568,3.0303762
...9...7..5....2.......4....9...53..........1..2.817.6.....86.427..6.5.3.......2.,2.6573307,2.4089403,3.7431158,3.6661861
....9.8.......7..3....31.2693.1....85...4..3...2..5.1..4....7..37.9..2....57...4.,1.8326885,1.8695652,2.5212146,2.555805
...4.6.5.....8..3..89...4.........41..46..5....175.8.2..5.21...3.....2..2.894....,1.8067309,2.4483137,3.0156172,2.5637451
1.36.5.4.....28.....913.2.......258....8....3.6..5.....4....75......649..9..4..12,1.9425339,2.0994312,2.2327848,2.5611927
..34.97....6....9.....123...1827...3.3...5..........27..5...6.4....4.....4..839.2,2.0128778,2.1079571,2.7154555,3.1620631
.2.....8.....1.....894.........719..8..6...5.6743....8...5..2313....9.......4...5,2.0186663,1.9875535,2.8097488,2.7701306
..3..8..64..97..8.......54....73945.9.......85.2.........2...3..7534..6.....96...,1.8503617,2.1116365,2.7933024,3.4094346
.23....9545....1....9..163......9.....7.8.24.5..4...86.14...9..2...9..........3.7,2.2309445,1.6702597,3.3365945,3.8629798
..345...6.5..........612.....4..7.....75..19..1.8....3......62..7....4.89..3...1.,2.3707869,2.3501012,3.0208581,3.0795047
.2.8.6..74.69....8.....3.5...73...8.3.5..7...84.......9.....5...3..6......47.5.29,1.6317711,1.9441301,3.1330876,3.3182172
12......7.....9.....93..5.1..2.5.1.3...6...2..1......6...5.8.6......4.726....34..,2.4471152,1.9249523,2.9878544,4.1097675
.......86.....7...7891.........6194....2.....2..97...86.4.1......5.3..213....85..,2.3415464,1.9907436,2.4789676,2.725186
1..4.....4.6.3.1...8...2...8.4.........9.5....9.1..26..32.4..7.9...6..58.1..9....,1.5503492,1.5870633,2.2315595,2.814551
1...6..97...7.9.2..8.......2.5.....194....65..6....34.6...57..9....8....3..4.1...,1.7775114,1.9910494,2.9570191,4.0112851
..3..4.6..5.28....7893.6.5..4...9..6............6..59..1.....2.8..4.......492..1.,2.4034377,2.5185237,3.3820711,3.1608698
1..4..9.....3...2..8.1.6..4.7.69......25...4..6.......34....8...1......2....8..6.,2.3821833,2.3220421,2.8221153,3.0628013
..3....78..68.1.2.7.....61..4...2..6...4...89...1.6.....5...74..1..398...........,2.2122935,2.2769322,2.6554116,2.5641189
..3...6.7..671..32....2......7.381.9..1.....624.69.....34......8.....9........354,1.875374,2.0290797,2.0439748,2.2669442
.2..8.7.9..6..283.................735.4.71..8.....9.1.9..417...3.25..4..8...2....,1.7749244,1.8605953,2.6820877,2.2602814
...5...6...6982....................2..7.4..95.9.8.17........6..9..7...4.34..1.2.7,2.5499938,2.3432662,2.968046,3.7170469
.2...8.75...3....2..9.1.4.3..28.17.4.6..3...........8.3.....2.96.8.9.......1.....,2.2692482,2.1031585,2.72843,2.9125004
.....56...5.1.8...7.96........5.1.492.....8....4...1........2.6.71.9...4.4.......,2.8364903,2.3203804,4.0275291,4.1733471
..3...8.......79.1.8..3.......5...94..764...5.4.8..7.......234.2.........1.968..2,1.6528839,1.7918038,2.7940097,2.0715745
1..5..8..4....29.3...1.3..4...9..5...9.....86.3........7.......6..84..7...83..625,1.7724109,1.9217544,2.9008658,2.864204
..34....64..8.3.12.8..1...5..7..5...2.....6...94......8..1....4..2.3.....6....57.,2.501807,2.1178656,2.727744,2.665658
.238...9.....97.8...9...1......4861.26.7.........6...4.35......6.2..9......48.5.3,2.0974006,1.9352997,2.9209863,2.2257462
.2...9..6.5.7...1...9........2...6.....53...767..1..38..5...1....82....424.....63,2.2260625,2.126627,2.91375,3.4700606
..35....4.56.7.......4215.....6.2..7..8...4...9.3.4.1......62..8...9.....1....97.,1.7377214,1.787174,2.1378554,3.0686231
.2..68.74...73..18..9..2..5...8...4.5..3.....8.....7.6.4..1.....7.2.....6.1.....7,1.9565649,1.6408118,2.9268115,2.8646682
.234..9..4.69.....7....3..6.........5.73..8.....765....4.8.15.7......48.9.....1.2,2.129269,2.0633316,2.4489294,2.6705198
..36.8......7..8.27....1...2..1...9........81.6..52...9.4.6..3...8..4...6.....45.,2.3593038,1.7610534,2.7801791,3.5613119
.....7.9..5.39..7..8........3.........145.........3256...56...46...81.3...79.....,2.5812504,2.0201446,3.2312533,3.41992
......678.5.......7.9.3......2....1.517.6.3....4...7.5...7.....63.4..58....8.34..,1.9312447,1.8735049,2.4842846,1.9190874
1..4..8...5...7.......3..2.8...2..39..5..9.76.6......839.....6264.........7...4..,1.9629815,2.1155794,2.8756643,3.0728522
...45678....7.9..3.........2...94...5...7...1.9...3.6..7...16...12..7.9.9..36....,2.3067875,1.932906,2.6856262,3.1141115
.2.9..67.456..................3.1...8.429......5..8..6..17....2.7....34.36.5..7..,2.0100378,1.881114,2.7154539,2.7154099
1.386.5.7.5..7......9..514...2.5.6......8......7....136.....9...9.....8.3..2..4..,1.9973324,2.06288,2.6257744,2.8650864
....5.47..5...1....8......6.37......81.7.4.2.....9.8.....6.2.3.39..4...56....9..1,2.2589297,2.1033299,2.9207828,3.1178504
.2....6.84.68..3.......3.4.6....7.1..1....8..8..4.65......5.4.9.75.......4.692...,1.8074015,1.7360136,2.2949895,2.3108348
1..58..6..5.........9...4....46....7..1......67.4..1...4.1.6...36.85....8..7..65.,2.4395399,2.060831,3.4779926,2.874127
....4.9...5...3......5.2...3...9..5.89....62...51.....5......196.1.2..3..7.3..46.,2.3211866,2.2348737,3.2850167,2.8650901
....8.....562.7.1..891...2.....1...7..1..4..539............9.......7...3..2.6.9.1,2.2781703,2.6787207,3.6204684,3.6620347
.2...6..7......93..89...2.45.......88.49....5....6.3..3.5..2.....7.5.1...4..3..7.,1.9465912,1.8558456,2.8598155,2.281259
1.3...8.7.5..8.3.1.89.3.....4..6......1..8..6..7..2.4..1.4.5........3....92....74,1.9297789,2.038573,3.0284861,2.3894441
..3.5897..56......7..12......1...7..........8.4.2.7..16....2.8.5..6..4....89.4.6.,2.1518057,2.2763284,2.6246443,3.0674394
1..86......6.....3789....6..95.....2......4...6.1.5....4...1.3...2..76.15....27..,1.9228935,1.7130274,2.9187302,2.733691
.2.58.7...56..9.83.....1...23....8.......24....7.....53....6.......28.169...1.2..,1.8588385,2.180709,3.2140197,2.9680081
.....6....561.7..9....3..1...8..1....1.5.9..3..7....4.....9.2.6.3..2.79..........,2.6035282,2.5231854,3.01656,3.4301198
...7.....4569...3.78....1.6.9.6..82.512......8..5..7.....3...5.........297..8.6..,1.7309753,1.6731599,2.4422634,2.423361
....5....4......17...6.2.....7...1...12.3..4.8..7...6.24....5..6.5.8......8.7....,2.7284469,2.5615271,3.5185096,3.6652111
1..5.49.....92.1......3....2.18..34..6.4...299...5..8..4......6......8..895..2.3.,2.0815864,1.7821072,2.4394423,2.1656883
12...59..4.6.9...1.8......5...72..8..91.5426......9...9....14......8.596.........,1.7557653,1.5545118,2.7380997,2.4808953
...74.......8....3.....3.545....9...3...7.89.2....6.1.9......3......72..6.5..294.,2.2908582,2.4626275,2.9238419,3.6707405
..3...7...5.....1..89.6...4...4..9....789...5...3....8...6.8...26...13........28.,2.5044018,1.9909574,2.8534621,2.8147124
.2.....6....9....3..9.615.2....27...8.7.....1.64...3........1.......548....738..6,2.2658427,2.2458033,2.5076581,2.8638965
.....6.....6.2...87....3..2......6.5..49...3.63..1...4.6..4..2...2.9.8..84.....97,2.0509137,2.2755737,2.6958547,3.3600034
12.7.4.8.........3.8.52.6...........64.2.9.....1.4...7.......5....39....91..764..,2.4773559,2.4416798,3.1975674,3.6704937
1...6.89..56.....27...245.65.......9.7...3.....2.....7....3....9...48..52..6..743,1.9441692,2.1236774,2.2875089,2.8677493
1..7......5.89...3...32.1..5.2...94.8.....2....4...6.8..7...4.......9...2..17...5,2.2407084,2.3581483,3.8050873,3.8638612
....8..694..29.31.......5.29.7....5.....3.9.7..4.....6.....5...39.8..4....13.....,2.2902474,2.2844855,2.845367,3.474018
12...56...568....3.......1......9.85.......2..9.2567..2....8.6....4.1....7.5....9,2.4091076,2.4164934,2.8615913,2.7703682
12.7..5...5......27..3...14..1.2....69......8.38.......6..49........394..1...7.6.,2.3183353,2.0775619,2.9029973,3.3712194
1...74....56..9.1..8..6..4.8..........5...6.....3.2.51.1..4.83.3.7.....5.....6...,2.1340104,2.3900896,3.1766792,3.5756583
1...5.4...56.1..7.78......1..1..4.65594...31..7....9....2...8.......8......6.1...,2.2791352,1.9626205,3.377596,3.6138098
.2.4...8....9....3..9.1..452..5...6..3..9.8....1..4........1.97.746...3..1..75...,2.0449305,2.0861707,2.8805007,3.113707
..37........19.7.2.8..2.............6.7...95....4.7..8.1...6.9....9.38......41.63,2.0944723,1.867901,2.4801405,2.4270476
......8.....2.....7.9..526.....8.39....7.....234.......7......6.41.3..7.3.815...9,1.9102371,2.1042261,2.4865181,3.1014212
.2.7..6..4..8.9.....9..21..8..17......1....7..7.628...3.2....566.....3.4.9.......,2.4446494,2.284761,2.7928907,3.4084613
1..856..7...9.......9.4.1.......9.2.....67.81......3..8.54...636.......8..2.3...5,2.3399537,2.0235506,3.2871564,2.426799
.....4......72..13.....15.2.61..5..7..78..4...4...3.9.6....7....1..3....3.89....1,2.3784027,2.5318685,3.0425556,3.222421
123.........3.8.......4.6..9..27.3...3.6..9.5...4..7...95...1..3......7..71.5...8,2.0905505,2.010502,2.8266109,3.1194731
1..5..76.45......37....6.2...7..82....4......56..3.947..29...54...........5.6....,2.4147568,1.9861311,2.5037797,2.8199349
1...8.....56..2.13...3.......421...5..8.4.6...9.........54732..........6.7.6...4.,2.4861809,2.3261242,2.5937145,3.3434487
.2..456...5....38.....6..4.9..........45.8.1..3...6..989.......3.5..4..1.....2...,2.5995758,2.051037,3.0539663,3.6715494
12...5.....6.2....7....3.5..7..563.4..54...7........8....8.71..6.8...2...9.....3.,2.2959763,2.4026104,2.6936148,3.3768085
1.34....84...8.1.......1.642.....58...1.9........57.2...59...7.64.......97.6....3,2.1923857,2.1093803,2.4416824,3.2081755
....84.........813......4.2..72.....2.81......1..67...8.5.3...79...2.6...6.4..1..,2.1325398,2.0915087,2.6897205,2.7322045
.....4769.5..29........1.4.69...5.378...37.94......6...6.4.3...9..85......2....5.,1.5537556,1.7168314,2.4841001,3.2622703
..3...8......89.7.....61.43.1....7.58...1..2.2.597...1..8....3..42.9..1.....3...8,2.1471004,2.0118375,2.7698816,2.8651325
..3........67...19.8....43...4.6....2.13.........2...89.8..65.......4..15...1.9.3,1.9896359,2.0012022,3.1052567,2.1742972
.2.....8.4.6....19789.6.....47.8.......714......2...9..948....5.....3.2.3..5.....,2.2863677,2.1779732,3.1998062,3.2661249
.2..8..4..56...38.7....1...........7.1.92..5....5.7...5..1..4...4135.9..9...4...8,1.8592552,1.7760588,1.9073023,2.5601099
12.4.9...4..3....1..9.6.....7...6.4.5......1.3.1.8...2.......54....3182....2....3,2.2645029,2.0247201,3.707959,3.5373055
....5.7..4.687..2...9....56.68..4...93......2..1...6.8..5.32..481......7...7.8...,1.7830812,2.0945347,2.8542446,2.4540794
123.6.5....6.9.73..........5.1.2.....6...7........9251......92..4.23.........61.8,1.8938107,1.9888771,2.7638532,3.5183742
..36.8.7.4...97..1....2...42.4.1.....61..34.28........3.82.......59..1......8...6,1.9455924,1.9376265,2.6900032,2.7641132
12....95.4.......3.8...3.....1365..4.6...........41.8....8...9...2.3...754....3..,2.1287423,2.12125,2.5796616,3.1244233
.2..76.5....82......9.3......7.....459...72.38..394......6.8.4.6...4..2.......6.5,2.2129583,1.996225,2.7511484,3.6896863
1...8..49.5.7..........16....7.....35.4..2....3...6.5....1....79..4.3..2......89.,2.6339438,2.3765008,3.3884677,3.1291615
.2.64...5.5....281...5....387.....5......934....4......4..7.........38..51....7..,2.451143,2.1080769,3.3353176,2.7142773
...58...9......3...891..5......75...6....1......49.2..3..7..4..2.5.4.8...7.8...5.,2.6636961,2.8007099,3.1895052,2.72374
.......49.5......87...3.2.62....64......94.7.....2....3.8....9.67...98...12.....7,2.3082034,2.3775253,2.7463656,3.0700051
..34.....4...78.12..9..1........4..8..1....7.2...6............6.7...59...648.315.,2.6059674,1.9959422,3.2533306,2.6233485
.....5...45.2.9..378....2..3..5.6...2......9.51..2..8......1......8.4.3.....6.857,2.3024392,2.0308703,2.4073526,3.0149388
.2.4..78...6..9.3..891.....59.........8.7...5..1...9......1...6...56.2.1..5..3...,2.1928568,1.9046764,2.9427271,3.2426788
...8.4.9...6......7.....1...4...3.....1...4.5.976..3..9...3....2.54.87.....5.2..3,2.1777494,2.1044986,2.9525588,2.9706907
.238...9....17...2...........7......39..4..68.4.7...3.9..4.3...5.4...9..67..1..5.,2.2233121,2.0667322,2.9629301,3.0214545
1.3.74.6.4.62............5.96...3.8.......3..2.76.......1.26......8...9..7..3...5,2.3574331,1.8861068,2.6688073,3.6609957
.2.....95.56......7...1....3..1.........9..3.817......27..654.....98..2..4.....56,2.4322071,2.4769604,3.3908237,3.3631749
..345...........7..8.6.23....43...69...7.1.....1..97..61.........8.....42...36..8,2.2929384,2.0388667,3.7742739,3.9140954
.2.....694....9..8...3..24..6...8.7.3...5.....97...6....8...43....9.7....72......,2.4200653,2.6263711,2.7778323,3.332257
1...4.6...567..9.3.........9..5.28.7.........5.7.6....84167...5..5....8.6..3.....,2.1795772,2.2355609,3.1301657,3.1629984
..3.4....4....8....8..2...3.7146.8....8..12.6......1..9..3.7..8.6.....9....2...7.,2.1383336,2.1172744,2.778207,3.312733
.2..5....4....1.937.924....8..5....6.6..28..4..7.1..2..7....9.....8....7...4.56..,2.3026826,2.3573618,2.997088,2.7192724
.2.......4...91.3..8.2.3...5.2.....1..1.49..23...1.95.......42....4....6.4..7....,2.2897776,2.1915973,2.6929854,4.6194626
.2.49......6..7.1....5....4..17..2...4..........184.363.....5..27...3.......4...2,2.3271437,2.0804219,2.4618235,2.6116206
..3.........8...21..9...465..1..7.......42...8476.....3.....57...2....9...426....,2.2441867,2.0961921,3.6114228,3.4622826
1.3.5....4..798....8.....4.56.2.9..8.91......2...1......5..7..4..2.4.6.........97,2.184792,2.0253595,2.5067984,3.0237467
.......4..568..1.97.93..6.2..1..3...3....4...5......7.9.5..7..82..13.4...1...8...,2.226341,2.0737825,3.2552404,3.0632601
..3.....6.......2.78.6...5.5...67..9.....45...41..56.76.25....1....9......5.81...,1.9035056,2.3788613,3.1725672,3.9286481
................12..3..4........34...1.......25.....6.....7.3.....52......61..8..,3.1270668,2.5384454,3.6696403,3.4958321
................12..3.45.................67.518...........1...4..7...6..3..28....,2.4636775,2.6672918,3.2393816,3.1153818
................12..3.45........6......1.2.5...7...3......7.84..6.......82.......,2.8117655,2.4296482,3.7505281,2.9325183
................12..3.45..6.....2.....7...8...5.1.6.......8.7.4....9.....2.......,2.9457286,2.3922747,3.1975107,3.7130068
...............123..4.56..........57.8.......13.2.........4.......3..8....5....6.,3.0210918,2.7510415,3.6941598,3.5269705
..............1..2..3....4.........1..5.36....2......7..8.4..5..1...7....9.....3.,3.0367828,2.7795288,3.2690328,3.5739831
..............1..2..3.4..5.........6......7.1..83.......45...9..1...6...9......8.,2.839731,2.4086989,3.4156741,3.483544
..............1..2.34.....1........5....36.4.71..........3........84....2.....6.9,2.5290899,2.3359893,2.7923444,3.2602094
..............1..2.34....5........6....35....7.....8.1....4..3..7......91....8...,3.4235152,2.8051994,3.7347197,3.4909283
..............1..2.34....5.....3.......45.....2......6...7.......8...34.1..2.6...,3.2974306,2.4985602,3.7155467,3.5919385
........1........2....34........345...1.......67...3......7.....8.21....4.....9..,3.3521439,3.2099206,3.7676097,3.579421
........1........2..3..4........536..1....4..7...3.......2........71....8.6...5..,3.4625541,3.1477982,3.4668317,3.7878323
........1.......2...3.45........65...1.......27..........89...7..42.......5...3..,2.910622,2.6086082,3.5993366,3.9221134
........1.......23..4..5..........36......4...1..27......31......5......87....9..,2.989258,2.5371683,2.6018841,3.3168372
........1.......23..4..5........6.7.....7.....12.........2.486.1...3....5........,2.6229983,2.3773454,3.3383597,3.5217468
........1.......23..4..5........647..2.....8..3..........23......9.8....6..1.....,2.734447,2.335099,3.0778416,2.7715578
........1.....2.....3....4.....3..14.2.....3.5....6......47.....8.......26....5..,3.2308849,2.8560388,3.1467927,3.6205368
........1.....2.....3..4.5......62....5.1.....7.....4....58..3..2.......6.......5,3.0272363,2.7058987,3.5051417,3.1865204
........1.....2.3...4.5.6.....1...2..4..7.8..5..8.3..9.76.......8.9.....4...8.7..,2.3657423,2.2376122,3.0065414,3.0709622
98.7..6..5...94.8...76.....6......4...9..3..6.....79..4......2..1...9..4..64..3..,2.1172477,2.0571895,2.4900594,2.6835624
98.76.5..7.....68...4..8..95..6..3...2..1........9....3...79.5..9.5....3.....69..,2.261377,2.1179357,2.4868244,2.8131818
98.76.5....49...6..5..84...3......9....2.9..1....7.6...7.8...5...9...8......9..76,2.2947611,2.2066042,2.2804976,2.416372
9876.....5...8.96.............56...46....859..3.29.8..2..8..65.....5..21.........,2.1958619,2.1026263,2.4783524,2.3183855
.23.....94.....1....9.2..4.2...9...1.....58....56........8...7..6...7...9...4...3,2.3134825,2.2282766,3.4131459,2.7284817
1...5......7..92...6.3........7..94...4..8..7....1....5..6....8..8..7.9..3......2,2.4453259,2.2243858,3.494657,2.970272
.2.4..7..4.......3..8....64.6.3...7...1.9....5....8........52...3.6....79...1....,2.5374607,2.4002542,2.9117568,3.3140977
98.7..6..5...6......6..9.4.32.9.......8.7.9.........31.9......8..5...4.....1.2.9.,2.375016,2.2737434,2.6413167,2.7128513
98.7..6..5..9..7....4.3..9.6...59.8....8....6.....79..2..6..8...1..72.6.........2,2.2445424,2.125941,2.0742266,2.5645396
98.7..6..7...8..5...4.6.....6..5.8....84....5.....3.6..2....1....1.4..3......1..8,2.3347517,2.2900959,2.4758182,3.3151677
98.7..6..7..5.......4.8..7.4..3..2...9..1..4...1..5..61...7..8..4...2.........3..,2.3250128,2.2165607,2.5927542,2.9261345
........1.....2.34..4.3.5....1.4...5.4.6..7..8....9.4...3.7..5..6...8...2..9.....,2.473872,2.2912296,3.0550634,2.8180282
98.7.....6...9.5....4..6.7.5..6..3...4...9.6.....2...1.9...8.3...39..4......1...2,2.2523129,2.0072404,2.8999338,2.5415558
....5.7.......9.3..8.1....6..48......6...4..19...7....3......5...26....4.1....9..,2.6313219,2.4616559,3.2900676,2.8792238
98.76.5..7...4.9....3..9...8...9.7...2.4.7..........1.6....4.5..986..4......8....,2.2882659,2.2590917,2.5166128,2.9083246
98.76.54.7..5.......3.9....6....59.7...9....4.....6.5.5..6...7..2....1.9..7.8....,2.0670445,2.1113106,2.2313272,2.0759198
9876..5..4..9..6......8..7.6..4..9....3..2..1....6....3...4......93....6....593..,2.3215011,2.1536751,2.4327692,2.4625863
1.34..7.....18..6..8...74.........1......2....1.7..8.2.4..7.1.85........8.1....9.,2.2286744,2.2464327,3.2231948,2.3355654
98.7..6..5..6..4....6.3..8.4..2..7...6...1..2..2.4.....9.4...7......69.........54,2.1934947,2.2318575,2.4259868,3.3096699
98.7..6..5.4.6..7......8..367..8.2....52.9........7.3.29...63.........1.........6,2.1635988,2.2019723,2.7473919,2.4681893
98.76.5..7....9.6..465..7..3.........7.8..4.......5..2.1..8..4....1....7....541..,2.2126488,2.202105,2.8880357,3.0132538
98.7..6..75..4......3..9...3.7..2.6..6....2.3........92.6..73......1..7.........6,2.3010131,2.1539959,2.2586398,2.618641
98.76.5..7..9..8....6......8...7..4....4...58.....97..5..8..4...3......2..8..1...,2.1090121,2.169365,2.9443253,2.9180009
98.7.....7...6......5..87..5.....4....43...6.....24..1.9...58.....6....2....1..3.,2.4182151,2.2255442,3.4010598,3.0661652
98.7..6..75..8......6......4....3.....5.6.9.....2...1..3.9....4..9.7.8.......1.2.,2.3474072,2.329843,2.7044383,2.7328549
98.7..6..7...5......4..8.7.8..3...9..7...98......4.....9.2..7.1.2...3.8.....9..3.,2.2587527,2.2006339,2.1829659,2.6125135
98.7..6..7...6......6....75.7.4.3....49...5....8.5...4...2...57....9.8.......7.1.,2.1810995,2.0917645,2.3509081,2.668836
........1.....234...3.1.52...2..1..4.6.......7..86......4..5..3.3.9.....8.....79.,2.3843985,2.2116028,2.9039631,2.876464
98.7..6..7..9..5......4..7.6..5..7...38...........2..1.978.......6..78......5....,2.2415798,2.2216257,2.2193949,2.4139941
98.7..6..7..9..5....4....7.8...7...5...5...68.....97..5..6..8...9..3.....2.....1.,2.3548759,2.1179509,2.2739356,2.7122058
98.7..6..5..9..7......43...7..2..5....6.1..8.....9....1....2..6.7....1....91....5,2.3225016,2.2555003,2.2764348,2.515895
98.7.......6.5.9.......9.4.6...3.2...5......4..2..1.6.2.......1.6..8.3....3..7.5.,2.1924001,2.2581911,2.63562,2.3159285
98.7.....6...8......5..68..5....94....4.7..3....2....1.5...79.....1...2.....3...7,2.4707656,2.3819611,2.4175953,3.3300341
98.7..6..7..5..49...3.....78..6..9...2..1..76.........6...59..4..84...6.......5..,2.4262573,2.1360194,2.6281879,2.4612097
98.76....5..4.......7..59..3....75...7.....6.....2...1.5...83....3....2....1....4,2.5129451,2.3689028,2.7894087,3.1356613
...........1..2.34.2.35.6.....7......3.....5.1....8.23..4.9.....1...3.428.34.....,2.2629459,2.1490297,2.8890895,2.7186816
........1..2..3....4..5..23......1....3..67..4...2..35..4.3..58.8.5.....53.9.....,2.3480546,2.1565873,2.7098977,2.6661452
98.7..6....5.9..7......4...85.9....7..3...9.......285.57.6...8.....8........17..6,2.1989392,2.2116706,2.4470253,2.2725233
98.76.5..7..4..9...3...8...6...75....4.........7..96..4..5..2...6..2..1...2..4..6,2.2177437,2.0210789,2.4409252,2.3823171
98.76.5..7..5.86.......4.8.6...7..39..9...7.....9...565..6..3...2..............61,2.1947172,2.1330778,2.4736781,2.617652
98.76.5..7..5..9....5....6.8..9..7...3...........42.1.4...89.7..9..574.....4.....,2.1742616,2.0147327,2.6265584,2.4605405
